Engine.PowerAtShaftRelative,Engine.RPM,Engine.PowerAtShaft,Unnamed: 3,Consumptions_Parsed,Unnamed: 5,Unnamed: 6,Unnamed: 7,Engine.PowerAtShaft_uptd,Engine.PowerAtShaft_Imputed_5,Engine.PowerAtShaft_Imputed,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,Consumptions_Parsed_NN,EngineRunningMinutes,Engine.RunningHours
71.37,80.9,4821,,29.8,,,,4821,4821,4821,,,,,,29.8,1440,24
71.06,81.1,4800,,28.3,,,,4800,4800,4800,,,,,,28.3,1380,23
75.38,81.8,5092,,29.9,,,,5092,5092,5092,,,,,,29.9,1440,24
71.8,81,4850,,29.4,,,,4850,4850,4850,,,,,,29.4,1440,24
72.85,80.1,4921,,29.3,,,,4921,4921,4921,,,,,,29.3,1440,24
74.76,79.9,5050,,30,,,,5050,5050,5050,,,,,,30,1440,24
74.45,79.8,5029,,30,,,,5029,5029,5029,,,,,,30,1440,24
74.39,81.5,5025,,30,,,,5025,5025,5025,,,,,,30,1440,24
76,82,5134,,8,,,,5134,5134,5134,,,,,,8,402,6.7
0,80.8,5400,,12,,,,4302,4540.2,5158.333333,,,,,,12,646.5130569,10.78
0,80.8,5400,,0.9,,,,3271.8325,3344.066,3322.443333,,,,,,0.9,138.0263938,2.3
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
0,80.8,5400,,3.6,,,,3897,4092.2,3641.666667,,,,,,3.6,261.7123389,4.36
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
0,80.8,5400,,3.8,,,,3731.25,3917.6,3641.666667,,,,,,3.8,270.8742607,4.51
0,80.8,5400,,4.1,,,,4121,4372.6,3991.666667,,,,,,4.1,284.6171435,4.74
0,80.8,5400,,4,,,,3731.25,3886.8,3991.666667,,,,,,4,280.0361826,4.67
0,80.8,5400,,3.9,,,,3731.25,3917.6,3991.666667,,,,,,3.9,275.4552217,4.59
0,80.8,5400,,3.9,,,,3731.25,3917.6,3991.666667,,,,,,3.9,275.4552217,4.59
0,80.8,5400,,3.9,,,,3731.25,3917.6,3991.666667,,,,,,3.9,275.4552217,4.59
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
0,80.8,5400,,1.6,,,,3400.0825,3344.066,3322.443333,,,,,,1.6,170.0931203,2.83
,80.8,5400,,1,,,,3271.8325,3592.066,3322.443333,,,,,,1,142.6073547,2.38
,80.8,5400,,6.3,,,,4806,4507.6,4784.666667,,,,,,6.3,385.3982839,6.42
0,80.8,5400,,3,,,,4029.75,3898.8,4389.666667,,,,,,3,234.2265733,3.9
0,80.8,5400,,3.8,,,,3731.25,3917.6,3641.666667,,,,,,3.8,270.8742607,4.51
0,80.8,5400,,1.2,,,,3271.8325,3592.066,3322.443333,,,,,,1.2,151.7692766,2.53
,80.8,5400,,12.5,,,,4191.3475,3801.078,3923.333333,,,,,,12.5,669.4178615,11.16
72.09,75,4870,,5.8,,,,4870,4870,4870,,,,,,5.8,324,5.4
80.55,80.1,5441,,29.5,,,,5441,5441,5441,,,,,,29.5,1440,24
82.04,80.8,5542,,30.1,,,,5542,5542,5542,,,,,,30.1,1440,24
76.98,80.7,5200,,30.4,,,,5200,5200,5200,,,,,,30.4,1500,25
75.69,80.4,5113,,28.8,,,,5113,5113,5113,,,,,,28.8,1440,24
76.57,80.4,5172,,30.4,,,,5172,5172,5172,,,,,,30.4,1500,25
78.71,80.8,5317,,29.8,,,,5317,5317,5317,,,,,,29.8,1440,24
79.2,80.1,5350,,30,,,,5350,5350,5350,,,,,,30,1440,24
77.29,80,5221,,29.8,,,,5221,5221,5221,,,,,,29.8,1440,24
78.28,80,5288,,29.8,,,,5288,5288,5288,,,,,,29.8,1440,24
78.21,80.4,5283,,29.8,,,,5283,5283,5283,,,,,,29.8,1440,24
74.88,79.7,5058,,29.2,,,,5058,5058,5058,,,,,,29.2,1440,24
77.47,80.3,5233,,29.7,,,,5233,5233,5233,,,,,,29.7,1440,24
78.95,79.2,5333,,29.8,,,,5333,5333,5333,,,,,,29.8,1440,24
78.09,79.4,5275,,29.6,,,,5275,5275,5275,,,,,,29.6,1440,24
80.5,83,5438,,11.2,,,,5438,5438,5438,,,,,,11.2,534,8.9
,80.8,5400,,2.7,,,,4029.75,3898.8,4389.666667,,,,,,2.7,220.4836905,3.67
,80.8,5400,,14,,,,5380.105,5054.484,5227.473333,,,,,,14,738.1322754,12.3
60.7,78.6,4100,,13.6,,,,4100,4100,4100,,,,,,13.6,1008,16.8
59.22,80,4000,,20.5,,,,4000,4000,4000,,,,,,20.5,1380,23
77.87,83.9,5260,,24.5,,,,5260,5260,5260,,,,,,24.5,1440,24
70.32,81.4,4750,,15.3,,,,4750,4750,4750,,,,,,15.3,1110,18.5
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
0,80.8,5400,,3.6,,,,3897,4092.2,3641.666667,,,,,,3.6,261.7123389,4.36
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
0,80.8,5400,,3.7,,,,3897,3917.6,3641.666667,,,,,,3.7,266.2932998,4.44
0,80.8,5400,,4.3,,,,4121,4372.6,4369.666667,,,,,,4.3,293.7790654,4.9
0,80.8,5400,,5.7,,,,4704.5,4750,4520.666667,,,,,,5.7,357.9125184,5.97
0,80.8,5400,,4.3,,,,4121,4372.6,4369.666667,,,,,,4.3,293.7790654,4.9
0,80.8,5400,,9,,,,5465.25,5350,5287,,,,,,9,509.084229,8.48
0,80.8,5400,,7.5,,,,4955.5,4873.2,5130,,,,,,7.5,440.3698151,7.34
0,80.8,5400,,9.5,,,,5365,5365.4,5453.333333,,,,,,9.5,531.9890336,8.87
0,80.8,5400,,4.8,,,,4705,4815.2,4940,,,,,,4.8,316.68387,5.28
0,80.8,5400,,6.3,,,,4806,4507.6,4784.666667,,,,,,6.3,240,4
0,80.8,5400,,5.8,,,,4704.5,4750,4520.666667,,,,,,5.8,150,2.5
0,80.8,5400,,4.8,,,,4705,4815.2,4940,,,,,,4.8,114,1.9
0,80.8,5400,,5.4,,,,4593,4750.2,4500.666667,,,,,,5.4,204,3.4
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
0,80.8,5400,,4.5,,,,4622,4684,4369.666667,,,,,,4.5,108,1.8
0,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
0,80.8,5400,,4.3,,,,4121,4372.6,4369.666667,,,,,,4.3,72,1.2
