FuelOilTypeIDCode,Amount
LSFO,0
MDOLS,0
MDO,0
HFO,1002.4
LSFO,0
MDO,0
HFO,972.6
MGOLS,153.4
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,153.4
MDO,0
MGO,0
HFO,942.6
LSFO,0
MDOLS,0
MDO,0
HFO,912.8
MGOLS,153.4
MGO,0
MGO,0
MDOLS,0
MGOLS,153.4
MDO,0
LSFO,0
HFO,883
MDO,0
MDOLS,0
MGO,0
MGOLS,153.4
HFO,853.2
LSFO,0
HFO,824
MDO,0
LSFO,0
MDOLS,0
MGOLS,153.4
MGO,0
MDO,0
MDOLS,0
HFO,794.3
MGOLS,153.4
MGO,0
LSFO,0
MDOLS,0
MDO,0
LSFO,0
HFO,764.5
MGOLS,153.4
MGO,0
MGOLS,153.4
HFO,734.9
LSFO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,153.4
MGO,0
MDO,0
HFO,723.7
LSFO,0
MDOLS,0
LSFO,0
MGOLS,153.4
MDO,0
MGO,0
HFO,721
MDOLS,0
HFO,710.3
MGO,0
MDO,0
MDOLS,0
MGOLS,150.1
LSFO,0
MGOLS,150.1
HFO,706.3
MDO,0
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
LSFO,0
MGOLS,150.1
MDO,0
HFO,685.8
MGO,0
MGOLS,150.1
MDOLS,0
HFO,661.3
MDO,0
MGO,0
LSFO,0
MGOLS,150.1
MGO,0
MDO,0
LSFO,0
HFO,646
MDOLS,0
HFO,641.8
MGO,0
MDOLS,0
MDO,0
LSFO,0
MGOLS,151.2
MGO,0
MDO,0
MGOLS,151.2
HFO,638.2
LSFO,0
MDOLS,0
MGOLS,151.2
LSFO,0
HFO,634.8
MDOLS,0
MGO,0
MDO,0
MDO,0
MDOLS,0
LSFO,0
MGOLS,151.2
HFO,631.1
MGO,0
MGO,0
HFO,626.8
MGOLS,151.2
MDOLS,0
MDO,0
LSFO,0
MGO,0
MDOLS,0
LSFO,0
MGOLS,151.2
HFO,618.1
MDO,0
MDO,0
MGO,0
HFO,613.8
MDOLS,0
MGOLS,151.2
LSFO,0
MDO,0
MGO,0
LSFO,0
HFO,604.8
MDOLS,0
MGOLS,151.2
MDOLS,0
HFO,597.3
MGOLS,151.2
MDO,0
LSFO,0
MGO,0
MDO,0
MGOLS,151.2
HFO,587.8
MDOLS,0
MGO,0
LSFO,0
MDOLS,0
HFO,583
MDO,0
LSFO,0
MGOLS,151.2
MGO,0
LSFO,0
MGOLS,151.2
MDOLS,0
HFO,576.7
MDO,0
MGO,0
MDO,0
LSFO,0
HFO,570.9
MGOLS,151.2
MDOLS,0
MGO,0
MGO,0
MGOLS,151.2
MDO,0
MDOLS,0
HFO,566.1
LSFO,0
LSFO,0
MDOLS,0
MGOLS,151.2
MDO,0
MGO,0
HFO,560.7
LSFO,0
HFO,557.3
MDOLS,0
MGO,0
MDO,0
MGOLS,151.2
MDO,0
LSFO,0
HFO,552.8
MGOLS,151.2
MGO,0
MDOLS,0
MGO,0
MGOLS,151.2
MDOLS,0
LSFO,0
MDO,0
HFO,549.5
MDOLS,0
MDO,0
MGOLS,151.2
LSFO,0
MGO,0
HFO,545.2
LSFO,0
MDO,0
HFO,539
MDOLS,0
MGOLS,151.2
MGO,0
MDO,0
MGOLS,151.2
MDOLS,0
HFO,533.9
MGO,0
LSFO,0
MDOLS,0
MDO,0
MGO,0
MGOLS,151.2
HFO,2005.3
LSFO,0
LSFO,0
HFO,2004.4
MDOLS,0
MGOLS,151.2
MGO,0
MDO,0
MDO,0
HFO,1980.9
LSFO,0
MGO,0
MDOLS,0
MGOLS,151.2
LSFO,0
MGO,0
MDO,0
HFO,1951.4
MGOLS,151.2
MDOLS,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,151.2
MDO,0
HFO,1921.4
MDO,0
MGOLS,151.2
HFO,1891.9
LSFO,0
MDOLS,0
MGO,0
MDO,0
HFO,1862.4
LSFO,0
MGOLS,151.2
MGO,0
MDOLS,0
MGOLS,151.2
LSFO,0
MGO,0
MDO,0
HFO,1832
MDOLS,0
MDO,0
MGOLS,151.2
HFO,1802.6
MGO,0
MDOLS,0
LSFO,0
LSFO,0
MDOLS,0
MDO,0
HFO,1773
MGO,0
MGOLS,151.2
MGO,0
MDO,0
MGOLS,151.2
MDOLS,0
HFO,1743.4
LSFO,0
LSFO,0
HFO,1714.1
MGOLS,151.2
MDO,0
MGO,0
MDOLS,0
LSFO,0
MGOLS,151.2
HFO,1685.1
MDO,0
MGO,0
MDOLS,0
LSFO,0
MDO,0
MGO,0
MGOLS,151.2
HFO,1666.9
MDOLS,0
MGOLS,151.2
MDO,0
HFO,1666.1
MDOLS,0
MGO,0
LSFO,0
LSFO,0
HFO,1662.8
MGO,0
MDOLS,0
MGOLS,151.2
MDO,0
MDOLS,0
HFO,1659.5
MGOLS,151.2
MGO,0
LSFO,0
MDO,0
MDO,0
LSFO,0
HFO,1656.2
MGOLS,151.2
MGO,0
MDOLS,0
MGOLS,151.2
MDOLS,0
MGO,0
MDO,0
LSFO,0
HFO,1652.9
MGOLS,151.2
MGO,0
MDOLS,0
HFO,1649.5
LSFO,0
MDO,0
LSFO,0
MDO,0
MGO,0
HFO,1646.1
MDOLS,0
MGOLS,151.2
LSFO,0
MGO,0
MGOLS,151.2
MDO,0
MDOLS,0
HFO,1645.4
MGO,0
MDO,0
HFO,1644.7
MGOLS,151.2
MDOLS,0
LSFO,0
MDOLS,0
MDO,0
LSFO,0
MGO,0
HFO,1633.5
MGOLS,151.2
MGOLS,151.2
HFO,1633
MGO,0
MDO,0
MDOLS,0
LSFO,0
HFO,1622.2
MGOLS,151.2
MDO,0
MGO,0
MDOLS,0
LSFO,0
MDOLS,0
HFO,1593.4
LSFO,0
MGOLS,151.2
MGO,0
MDO,0
MGO,0
MDOLS,0
MGOLS,151.2
LSFO,0
HFO,1564.5
MDO,0
